"조사연도","행정구역시도코드","논_금년경지합계면적","밭_금년경지합계면적","계_금년경지합계면적","논_규반합계면적","밭_규반합계면적","계_규반합계면적","논_가경합계면적","밭_가경합계면적","계_가경합계면적"
2021,11,0,106.863,106.863,0,2.5252,2.5252,0,104.3378,104.3378
2021,11,0,15.8617,15.8617,0,.2966,.2966,0,15.5651,15.5651
2021,11,0,33.4421,33.4421,0,1.1846,1.1846,0,32.2575,32.2575
2021,11,0,83.8144,83.8144,0,2.8215,2.8215,0,80.9929,80.9929
2021,11,35.5963,36.2421,71.8384,1.9402,1.1134,3.0536,33.6561,35.1287,68.7848
2021,11,4.7661,92.7445,97.5106,.0901,3.3337,3.4238,4.676,89.4108,94.0868
2021,11,51.9817,18.0872,70.0689,2.4151,1.3999,3.815,49.5666,16.6873,66.2539
2021,11,9.5524,33.4485,43.0009,.5102,.8292,1.3394,9.0422,32.6193,41.6615
2021,11,93.9518,2.1831,96.1349,2.9688,.0739,3.0427,90.983,2.1092,93.0922
2021,21,-.6152,109.5695,108.9543,-.0254,3.3447,3.3193,-.5898,106.2248,105.635
2021,21,100.4404,538.6149,639.0553,2.4651,15.7631,18.2282,97.9753,522.8518,620.8271
2021,21,1098.1847,197.132,1295.3167,23.8728,7.2436,31.1164,1074.3119,189.8884,1264.2003
2021,21,20.1003,172.4316,192.5319,.6532,5.4843,6.1375,19.4471,166.9473,186.3944
2021,21,30.5368,.0383,30.5751,.592,.001,.593,29.9448,.0373,29.9821
2021,21,409.8638,218.177,628.0408,11.6843,8.698,20.3823,398.1795,209.479,607.6585
2021,21,448.281,849.8225,1298.1035,7.9031,22.2895,30.1926,440.3779,827.533,1267.9109
2021,21,72.0415,255.0071,327.0486,2.4182,10.6644,13.0826,69.6233,244.3427,313.966
2021,21,99.0061,423.0076,522.0137,2.4008,12.1833,14.5841,96.6053,410.8243,507.4296
2021,22,100.8481,606.2406,707.0887,3.9183,19.8049,23.7232,96.9298,586.4357,683.3655
2021,22,101.7593,560.9281,662.6874,3.0592,17.1941,20.2533,98.7001,543.734,642.4341
2021,22,143.8482,546.9439,690.7921,5.5023,18.2772,23.7795,138.3459,528.6667,667.0126
2021,22,24.2488,866.2215,890.4703,.2068,24.521,24.7278,24.042,841.7005,865.7425
2021,22,304.1543,558.9869,863.1412,9.7937,13.1329,22.9266,294.3606,545.854,840.2146
2021,22,408.2672,116.787,525.0542,13.5932,4.7981,18.3913,394.674,111.9889,506.6629
2021,22,579.6422,347.2986,926.9408,15.7785,7.7046,23.4831,563.8637,339.594,903.4577
2021,22,66.061,296.172,362.233,2.491,7.929,10.42,63.57,288.243,351.813
2021,22,931.3559,478.1599,1409.5158,30.5787,14.1745,44.7532,900.7772,463.9854,1364.7626
2021,23,1060.9241,701.0185,1761.9426,44.1224,26.0854,70.2078,1016.8017,674.9331,1691.7348
2021,23,2546.3224,513.0572,3059.3796,94.2815,21.0987,115.3802,2452.0409,491.9585,2943.9994
2021,23,256.3598,607.6239,863.9837,11.0408,19.8875,30.9283,245.319,587.7364,833.0554
2021,23,262.3604,1046.4246,1308.785,10.4874,36.7302,47.2176,251.873,1009.6944,1261.5674
2021,23,353.4894,1546.1187,1899.6081,16.0482,57.0794,73.1276,337.4412,1489.0393,1826.4805
2021,23,41.0554,205.5426,246.598,1.8036,8.7441,10.5477,39.2518,196.7985,236.0503
2021,23,7792.0509,197.668,7989.7189,312.0748,7.1894,319.2642,7479.9761,190.4786,7670.4547
2021,23,9.0366,127.3773,136.4139,.4317,4.2524,4.6841,8.6049,123.1249,131.7298
2021,23,91.5871,262.0509,353.638,4.08,8.7107,12.7907,87.5071,253.3402,340.8473
2021,24,138.9418,723.3169,862.2587,3.9173,21.4237,25.341,135.0245,701.8932,836.9177
2021,24,1451.7124,270.0792,1721.7916,50.1149,9.9486,60.0635,1401.5975,260.1306,1661.7281
2021,24,1491.9424,723.1552,2215.0976,50.668,26.3519,77.0199,1441.2744,696.8033,2138.0777
2021,24,198.3663,690.0087,888.375,6.2753,23.8149,30.0902,192.091,666.1938,858.2848
2021,24,34.2462,165.3321,199.5783,.9732,5.0686,6.0418,33.273,160.2635,193.5365
